Question ID,Question Title,Question Body,Question Tags,Answer ID,Answer Score,Answer Body
64125048,"get error ""unknown field ""servicename"" in io.k8s.api.networking.v1.ingressbackend"" when switch from v1beta1 to v1 in kubernetes ingress","i had the below yaml for my ingress and it worked (and continues to work):
apiversion: networking.k8s.io/v1beta1
kind: ingress
metadata:
  name: test-ingress
  namespace: test-layer
annotations:
    nginx.ingress.kubernetes.io/rewrite-target: /$1
spec:
  rules:
    - host: mylocalhost.com
      http:
        paths:
          - path: /
            backend:
              servicename: test-app
              serviceport: 5000

however, it tells me that it's deprecated and i should change to using networking.k8s.io/v1. when i do that (see below) it throws an error.
apiversion: networking.k8s.io/v1
kind: ingress
metadata:
  name: test-ingress
  namespace: test-layer
annotations:
    nginx.ingress.kubernetes.io/rewrite-target: /$1
spec:
  rules:
    - host: mylocalhost.com
      http:
        paths:
          - path: /
            backend:
              servicename: test-app
              serviceport: 5000

error
error: error validating &quot;test-ingress.yaml&quot;: 
  error validating data: [validationerror(ingress.spec.rules[0].http.paths[0].backend): 
    unknown field &quot;servicename&quot; in io.k8s.api.networking.v1.ingressbackend, 
    validationerror(ingress.spec.rules[0].http.paths[0].backend): 
      unknown field &quot;serviceport&quot; in io.k8s.api.networking.v1.ingressbackend]; 
      if you choose to ignore these errors, turn validation off with --validate=false

other than changing the api version, i made no other changes.
kubectl version returns:
client version: version.info{major:&quot;1&quot;, minor:&quot;19&quot;, gitversion:&quot;v1.19.0&quot;, gitcommit:&quot;e19964183377d0ec2052d1f1fa930c4d7575bd50&quot;, gittreestate:&quot;clean&quot;, builddate:&quot;2020-08-26t14:30:33z&quot;, goversion:&quot;go1.15&quot;, compiler:&quot;gc&quot;, platform:&quot;windows/amd64&quot;}

server version: version.info{major:&quot;1&quot;, minor:&quot;19&quot;, gitversion:&quot;v1.19.0&quot;, gitcommit:&quot;e19964183377d0ec2052d1f1fa930c4d7575bd50&quot;, gittreestate:&quot;clean&quot;, builddate:&quot;2020-08-26t14:23:04z&quot;, goversion:&quot;go1.15&quot;, compiler:&quot;gc&quot;, platform:&quot;linux/amd64&quot;}

",<kubernetes><kubectl><kubernetes-ingress><minikube>,64126069,299,"i think that this pr contains the change you're asking about.
`ingress` and `ingressclass` resources have graduated to `networking.k8s.io/v1`. ingress and ingressclass types in the `extensions/v1beta1` and `networking.k8s.io/v1beta1` api versions are deprecated and will no longer be served in 1.22+. persisted objects can be accessed via the `networking.k8s.io/v1` api. notable changes in v1 ingress objects (v1beta1 field names are unchanged):
* `spec.backend` -&gt; `spec.defaultbackend`
* `servicename` -&gt; `service.name`
* `serviceport` -&gt; `service.port.name` (for string values)
* `serviceport` -&gt; `service.port.number` (for numeric values)
* `pathtype` no longer has a default value in v1; &quot;exact&quot;, &quot;prefix&quot;, or &quot;implementationspecific&quot; must be specified
other ingress api updates:
* backends can now be resource or service backends
* `path` is no longer required to be a valid regular expression

if you look in the 1.19 ingress doc, it looks like the new syntax would be:
apiversion: networking.k8s.io/v1
kind: ingress
metadata:
  name: minimal-ingress
  annotations:
    nginx.ingress.kubernetes.io/rewrite-target: /
spec:
  rules:
  - http:
      paths:
      - path: /testpath
        pathtype: prefix
        backend:
          service:
            name: test
            port:
              number: 80

i unfortunately don't have a 1.19 cluster to test myself, but i think this is what you're running into.
"
49918313,413 error with kubernetes and nginx ingress controller,"i'm trying to change the client_max_body_size value, so my nginx ingress will not return the http 413 content too large error (as seen in the logs).
i've tested a few solutions.
here is my config map:
kind: configmap
apiversion: v1
data:
  proxy-connect-timeout: &quot;15&quot;
  proxy-read-timeout: &quot;600&quot;
  proxy-send-timeout: &quot;600&quot;
  proxy-body-size: &quot;8m&quot;
  hsts-include-subdomains: &quot;false&quot;
  body-size: &quot;64m&quot;
  server-name-hash-bucket-size: &quot;256&quot;
  client-max-body-size: &quot;50m&quot;
metadata:
  name: nginx-configuration
  namespace: ingress-nginx
  labels:
    app: ingress-nginx

these changes had no effect at all: in nginx controller's log i can see the information about reloading the config map, but the values in nginx.conf are the same:
$ cat /etc/nginx/nginx.conf | grep client_max                                                                                                       
                            client_max_body_size                    &quot;8m&quot;;
                            client_max_body_size                    &quot;1m&quot;;
                            client_max_body_size                    &quot;1m&quot;;
                            client_max_body_size                    &quot;1m&quot;;
                            client_max_body_size                    &quot;1m&quot;;
                            client_max_body_size                    &quot;1m&quot;;
                            client_max_body_size                    &quot;1m&quot;;
                            client_max_body_size                    &quot;1m&quot;;
                            client_max_body_size                    &quot;1m&quot;;
                            client_max_body_size                    &quot;1m&quot;;
                            client_max_body_size                    &quot;1m&quot;;
                            client_max_body_size                    &quot;1m&quot;;
                            client_max_body_size                    &quot;1m&quot;;

my nginx-controller config uses this image:
quay.io/kubernetes-ingress-controller/nginx-ingress-controller:0.13.0
how can i force nginx to change this setting? i need to change it globally, for all my ingresses.
",<kubernetes><nginx><kubernetes-ingress><nginx-ingress><ingress-controller>,49918432,119,"you can use the annotation nginx.ingress.kubernetes.io/proxy-body-size to set the max-body-size option right in your ingress object instead of changing a base configmap.

here is the example of usage:

apiversion: extensions/v1beta1
kind: ingress
metadata:
  name: my-app
  annotations:
    nginx.ingress.kubernetes.io/proxy-body-size: ""50m""
...

"
42170380,how to add users to kubernetes (kubectl)?,"i've created a kubernetes cluster on aws with kops and can successfully administer it via kubectl from my local machine.

i can view the current config with kubectl config view as well as directly access the stored state at ~/.kube/config, such as:

apiversion: v1
clusters:
- cluster:
    certificate-authority-data: redacted
    server: https://api.{cluster_name}
  name: {cluster_name}
contexts:
- context:
    cluster: {cluster_name}
    user: {cluster_name}
  name: {cluster_name}
current-context: {cluster_name}
kind: config
preferences: {}
users:
- name: {cluster_name}
  user:
    client-certificate-data: redacted
    client-key-data: redacted
    password: redacted
    username: admin
- name: {cluster_name}-basic-auth
  user:
    password: redacted
    username: admin


i need to enable other users to also administer. this user guide describes how to define these on another users machine, but doesn't describe how to actually create the user's credentials within the cluster itself. how do you do this?

also, is it safe to just share the cluster.certificate-authority-data?
",<kubernetes><kubectl><kops>,42186135,111,"for a full overview on authentication, refer to the official kubernetes docs on authentication and authorization
for users, ideally you use an identity provider for kubernetes (openid connect).
if you are on gke / acs you integrate with respective identity and access management frameworks
if you self-host kubernetes (which is the case when you use kops), you may use coreos/dex to integrate with ldap / oauth2 identity providers - a good reference is this detailed 2 part sso for kubernetes article.
kops (1.10+) now has built-in authentication support which eases the integration with aws iam as identity provider if you're on aws.
for dex there are a few open source cli clients as follows:

nordstrom/kubelogin
pusher/k8s-auth-example

if you are looking for a quick and easy (not most secure and easy to manage in the long run) way to get started, you may abuse serviceaccounts - with 2 options for specialised policies to control access. (see below)
note since 1.6  role based access control is strongly recommended! this answer does not cover rbac setup
edit: great, but outdated (2017-2018), guide by bitnami on user setup with rbac is also available.
steps to enable service account access are (depending on if your cluster configuration includes rbac or abac policies, these accounts may have full admin rights!):
edit: here is a bash script to automate service account creation - see below steps

create service account for user alice
kubectl create sa alice


get related secret
secret=$(kubectl get sa alice -o json | jq -r .secrets[].name)


get ca.crt from secret (using osx base64 with -d flag for decode)
kubectl get secret $secret -o json | jq -r '.data[&quot;ca.crt&quot;]' | base64 -d &gt; ca.crt


get service account token from secret
user_token=$(kubectl get secret $secret -o json | jq -r '.data[&quot;token&quot;]' | base64 -d)


get information from your kubectl config (current-context, server..)
# get current context
c=$(kubectl config current-context)

# get cluster name of context
name=$(kubectl config get-contexts $c | awk '{print $3}' | tail -n 1)

# get endpoint of current context 
endpoint=$(kubectl config view -o jsonpath=&quot;{.clusters[?(@.name == \&quot;$name\&quot;)].cluster.server}&quot;)


on a fresh machine, follow these steps (given the ca.cert and $endpoint information retrieved above:

install kubectl
 brew install kubectl


set cluster (run in directory where ca.crt is stored)
 kubectl config set-cluster cluster-staging \
   --embed-certs=true \
   --server=$endpoint \
   --certificate-authority=./ca.crt


set user credentials
 kubectl config set-credentials alice-staging --token=$user_token


define the combination of alice user with the staging cluster
 kubectl config set-context alice-staging \
   --cluster=cluster-staging \
   --user=alice-staging \
   --namespace=alice


switch current-context to alice-staging for the user
 kubectl config use-context alice-staging





to control user access with policies (using abac), you need to create a policy file (for example):
{
  &quot;apiversion&quot;: &quot;abac.authorization.kubernetes.io/v1beta1&quot;,
  &quot;kind&quot;: &quot;policy&quot;,
  &quot;spec&quot;: {
    &quot;user&quot;: &quot;system:serviceaccount:default:alice&quot;,
    &quot;namespace&quot;: &quot;default&quot;,
    &quot;resource&quot;: &quot;*&quot;,
    &quot;readonly&quot;: true
  }
}

provision this policy.json on every master node and add --authorization-mode=abac --authorization-policy-file=/path/to/policy.json flags to api servers
this would allow alice (through her service account) read only rights to all resources in default namespace only.
"
72256006,service account secret is not listed. how to fix it?,"i have used kubectl create serviceaccount sa1 to create service account. then i used kubectl get serviceaccount sa1 -oyaml command to get service account info. but it returns as below.
apiversion: v1
kind: serviceaccount
metadata:
  creationtimestamp: &quot;2022-05-16t08:03:50z&quot;
  name: sa1
  namespace: default
  resourceversion: &quot;19651&quot;
  uid: fdddacba-be9d-4e77-a849-95ca243781cc

i need to get,
secrets:
- name: &lt;secret&gt;

part. but it doesn't return secrets. how to fix it?
",<kubernetes><kubectl>,72258300,101,"in kubernetes 1.24, serviceaccount token secrets are no longer automatically generated.  see &quot;urgent upgrade notes&quot; in the 1.24 changelog file:

the legacyserviceaccounttokennoautogeneration feature gate is beta, and enabled by default. when enabled, secret api objects containing service account tokens are no longer auto-generated for every serviceaccount. use the tokenrequest api to acquire service account tokens, or if a non-expiring token is required, create a secret api object for the token controller to populate with a service account token by following this guide. (#108309, @zshihang)

this means, in kubernetes 1.24, you need to manually create the secret; the token key in the data field will be automatically set for you.
apiversion: v1
kind: secret
metadata:
  name: sa1-token
  annotations:
    kubernetes.io/service-account.name: sa1
type: kubernetes.io/service-account-token

since you're manually creating the secret, you know its name: and don't need to look it up in the serviceaccount object.
this approach should work fine in earlier versions of kubernetes too.
"
56003777,how to pass environment variable in kubectl deployment?,"i am setting up the kubernetes setup for django webapp.

i am passing environment variable while creating deployment as below

kubectl create -f deployment.yml -l key1=value1 


i am getting error as below

error: no objects passed to create


able to create the deployment successfully, if i remove the env variable -l key1=value1 while creating deployment.

deployment.yaml as below

#deployment
apiversion: extensions/v1beta1
kind: deployment
metadata: 
 labels: 
   service: sigma-service
 name: $key1


what will be the reason for causing the above error while creating deployment?
",<kubernetes><kubectl>,56009991,97,"i used envsubst (https://www.gnu.org/software/gettext/manual/html_node/envsubst-invocation.html) for this. create a deployment.yaml

apiversion: apps/v1
kind: deployment
metadata:
  name: $name
  labels:
    app: nginx
spec:
  replicas: 1
  selector:
    matchlabels:
      app: nginx
  template:
    metadata:
      labels:
        app: nginx
    spec:
      containers:
      - name: nginx
        image: nginx:1.7.9
        ports:
        - containerport: 80


then:

export name=my-test-nginx
envsubst &lt; deployment.yaml | kubectl apply -f -


not sure what os are you using to run this. on macos, envsubst installed like:

brew install gettext
brew link --force gettext 

"
55213545,helm range without leaving global scope,"i need to loop through a list of instances and create 1 stateful set for every instance. however, inside range i then limit myself to the scope of that loop. i need to access some global values in my statefulset.

i've solved it by just putting all global objects i need in an env variable but... this very seems hacky.

what is the correct way to loop through ranges while still being able to reference global objects?

example of my loop

{{- $values := .values -}}
{{- $release := .release -}}

{{- range .values.nodes }}

apiversion: apps/v1
kind: statefulset
metadata:
  name: {{ $release.name }} &lt;-- global scope
  labels:
    .
    .
    .    
        env:
          - name: ip_address
            value: {{ .ip_address }} &lt;-- from range scope
    .
    .
    .
{{- end }}


example of values

# global
image:
  repository: ..ecr.....

# instances
nodes:

  - node1:
    name: node-1
    ip: 1.1.1.1
  - node2:
    name: node-2
    ip: 1.1.1.1

",<kubernetes><kubernetes-helm>,55257763,90,"when entering a loop block you lose your global context when using .. you can access the global context by using $. instead.
as written in the helm docs -

there is one variable that is always global - $ - this variable will always point to the root context. this can be very useful when you are looping in a range and need to know the chart's release name.

in your example, using this would look something like:
{{- range .values.nodes }}
apiversion: apps/v1
kind: statefulset
metadata:
  name: {{ $.release.name }}
  labels:
    .
    .
    .    
        env:
          - name: ip_address
            value: {{ .ip_address }}
    .
    .
    .
{{- end }}

"
59844622,ingress configuration for k8s in different namespaces,"i need to configure ingress nginx on azure k8s, and my question is if is possible to have ingress configured in one namespace et. ingress-nginx and some serivces in other namespace eg. resources?
my files looks like so:

# ingress-nginx.yaml
apiversion: extensions/v1beta1
kind: deployment
metadata:
  name: nginx-ingress-controller
  namespace: ingress-nginx
spec:
  replicas: 3
  selector:
    matchlabels:
      app: ingress-nginx
  template:
    metadata:
      labels:
        app: ingress-nginx
      annotations:
        prometheus.io/port: '10254'
        prometheus.io/scrape: 'true' 
    spec:
      containers:
        - name: nginx-ingress-controller
          image: quay.io/kubernetes-ingress-controller/nginx-ingress-controller:0.12.0
          args:
            - /nginx-ingress-controller
            - --default-backend-service=$(pod_namespace)/default-http-backend
            - --configmap=$(pod_namespace)/nginx-configuration
            - --tcp-services-configmap=$(pod_namespace)/tcp-services
            - --udp-services-configmap=$(pod_namespace)/udp-services
            - --annotations-prefix=nginx.ingress.kubernetes.io
            - --publish-service=$(pod_namespace)/ingress-nginx
          env:
            - name: pod_name
              valuefrom:
                fieldref:
                  fieldpath: metadata.name
            - name: pod_namespace
              valuefrom:
                fieldref:
                  fieldpath: metadata.namespace
          ports:
          - name: http
            containerport: 80
          - name: https
            containerport: 443
          livenessprobe:
            failurethreshold: 3
            httpget:
              path: /healthz
              port: 10254
              scheme: http
            initialdelayseconds: 10
            periodseconds: 10
            successthreshold: 1
            timeoutseconds: 1
          readinessprobe:
            failurethreshold: 3
            httpget:
              path: /healthz
              port: 10254
              scheme: http
            periodseconds: 10
            successthreshold: 1
            timeoutseconds: 1


# configmap.yaml
kind: configmap
apiversion: v1
metadata:
  name: nginx-configuration
  namespace: ingress-nginx
  labels:
    app: ingress-nginx
---
kind: configmap
apiversion: v1
metadata:
  name: tcp-services
  namespace: ingress-nginx
---
kind: configmap
apiversion: v1
metadata:
  name: udp-services
  namespace: ingress-nginx
---
# default-backend.yaml
apiversion: extensions/v1beta1
kind: deployment
metadata:
  name: default-http-backend
  labels:
    app: default-http-backend
  namespace: ingress-nginx
spec:
  replicas: 1
  selector:
    matchlabels:
      app: default-http-backend
  template:
    metadata:
      labels:
        app: default-http-backend
    spec:
      terminationgraceperiodseconds: 60
      containers:
      - name: default-http-backend
        # any image is permissible as long as:
        # 1. it serves a 404 page at /
        # 2. it serves 200 on a /healthz endpoint
        image: gcr.io/google_containers/defaultbackend:1.4
        livenessprobe:
          httpget:
            path: /healthz
            port: 8080
            scheme: http
          initialdelayseconds: 30
          timeoutseconds: 5
        ports:
        - containerport: 8080
        resources:
          limits:
            cpu: 10m
            memory: 20mi
          requests:
            cpu: 10m
            memory: 20mi
---
apiversion: v1
kind: service
metadata:
  name: default-http-backend
  namespace: ingress-nginx
  labels:
    app: default-http-backend
spec:
  ports:
  - port: 80
    targetport: 8080
  selector:
    app: default-http-backend



kind: service
apiversion: v1
metadata:
  name: ingress-nginx
  namespace: ingress-nginx
  labels:
    app: ingress-nginx
spec:
  externaltrafficpolicy: local
  type: loadbalancer
  selector:
    app: ingress-nginx
  ports:
  - name: http
    port: 80
    targetport: http
  - name: https
    port: 443
    targetport: https


        # app-ingress.yaml
apiversion: extensions/v1beta1
kind: ingress
metadata:
  name: app-ingress
  namespace: ingress-nginx
  annotations:
    kubernetes.io/ingress.class: nginx
    nginx.ingress.kubernetes.io/rewrite-target: /
spec:
  tls:
    - hosts:
      - api-sand.fake.com
  rules:
  - host: api-sand.fake.com
    http:
      paths:
      - backend:
          servicename: api-sand
          serviceport: 80
        path: /



and then i have some app running in the resources namespace, and problem is that i am getting the following error 

error obtaining service endpoints: error getting service resources/api-sand from the cache: service resources/api-sand was not found



if i deploy api-sand in the same namespace where ingress is then this service works fine.
",<kubernetes><kubernetes-ingress><nginx-ingress>,59845018,80,"instead of creating the ingress app-ingress in ingress-nginx namespace you should create it in the namespace where you have the service api-sandand the pod.
alternatively there is way to achieve ingress in one namespace and service in another namespace via externalname.checkout kubernetes cross namespace ingress network
here is an example referred from here.
kind: service
apiversion: v1
metadata:
  name: my-service
spec:
  type: externalname
  externalname: test-service.namespacename.svc.cluster.local


apiversion: extensions/v1beta1
kind: ingress
metadata:
  name: example-ingress
  annotations:
    kubernetes.io/ingress.class: &quot;nginx&quot;
spec:
  rules:
  - host: example.com
    http:
      paths:
      - path: /
        backend:
          servicename: my-service
          serviceport: 80

"
53429486,kubernetes - how to define configmap built using a file in a yaml?,"at present i am creating a configmap from the file config.json by executing:

kubectl create configmap jksconfig --from-file=config.json


i would want the configmap to be created as part of the deployment and tried to do this:

apiversion: v1
kind: configmap
metadata:
  name: jksconfig
data:
  config.json: |-
    {{ .files.get ""config.json"" | indent 4 }}


but doesn't seem to work. what should be going into configmap.yaml so that the same configmap is created? 

---update---

when i do a helm install dry run:

# source: mychartv2/templates/jks-configmap.yaml
apiversion: v1
kind: configmap
metadata:
  name: jksconfig
data:
  config.json: |


note: i am using minikube as my kubernetes cluster
",<kubernetes><minikube><kubernetes-helm><configmap>,53447306,69,"your config.json file should be inside your mychart/ directory, not inside  mychart/templates
chart template guide
configmap.yaml
apiversion: v1
kind: configmap
metadata:
  name: {{ .release.name }}-configmap
data:
  config.json: |-
{{ .files.get &quot;config.json&quot; | indent 4}}

config.json
{
    &quot;val&quot;: &quot;key&quot;
}

helm install --dry-run --debug mychart
[debug] created tunnel using local port: '52091'     
                                                     
[debug] server: &quot;127.0.0.1:52091&quot;                    
                                                     
...           
                                                     
name:   dining-saola                                 
revision: 1                                          
released: fri nov 23 15:06:17 2018                   
chart: mychart-0.1.0                                 
user-supplied values:                                
{}                                                   
                                                     
...
                                                     
---                                                  
# source: mychart/templates/configmap.yaml           
apiversion: v1                                       
kind: configmap                                      
metadata:                                            
  name: dining-saola-configmap                       
data:                                                
  config.json: |-                                    
    {                                                
        &quot;val&quot;: &quot;key&quot;                                 
    }     

edit:

but i want it the values in the config.json file to be taken from values.yaml. is that possible?

configmap.yaml
apiversion: v1
kind: configmap
metadata:
  name: {{ .release.name }}-configmap
data:
  config.json: |-
    {
{{- range $key, $val := .values.json }}
{{ $key | quote | indent 6}}: {{ $val | quote }}
{{- end}}
    }

values.yaml
json:
  key1: val1
  key2: val2
  key3: val3

helm install --dry-run --debug mychart
# source: mychart/templates/configmap.yaml
apiversion: v1
kind: configmap
metadata:
  name: mangy-hare-configmap
data:
  config.json: |-
    {
      &quot;key1&quot;: &quot;val1&quot;
      &quot;key2&quot;: &quot;val2&quot;
      &quot;key3&quot;: &quot;val3&quot;
    }

"
37555281,create kubernetes pod with volume using kubectl run,"i understand that you can create a pod with deployment/job using kubectl run.  but is it possible to create one with a volume attached to it?  i tried running this command:

kubectl run -i --rm --tty ubuntu --overrides='{ ""apiversion"":""batch/v1"", ""spec"": {""containers"": {""image"": ""ubuntu:14.04"", ""volumemounts"": {""mountpath"": ""/home/store"", ""name"":""store""}}, ""volumes"":{""name"":""store"", ""emptydir"":{}}}}' --image=ubuntu:14.04 --restart=never -- bash


but the volume does not appear in the interactive bash.

is there a better way to create a pod with volume that you can attach to?
",<kubernetes><kubectl>,37621761,61,"your json override is specified incorrectly. unfortunately kubectl run just ignores fields it doesn't understand.

kubectl run -i --rm --tty ubuntu --overrides='
{
  ""apiversion"": ""batch/v1"",
  ""spec"": {
    ""template"": {
      ""spec"": {
        ""containers"": [
          {
            ""name"": ""ubuntu"",
            ""image"": ""ubuntu:14.04"",
            ""args"": [
              ""bash""
            ],
            ""stdin"": true,
            ""stdinonce"": true,
            ""tty"": true,
            ""volumemounts"": [{
              ""mountpath"": ""/home/store"",
              ""name"": ""store""
            }]
          }
        ],
        ""volumes"": [{
          ""name"":""store"",
          ""emptydir"":{}
        }]
      }
    }
  }
}
'  --image=ubuntu:14.04 --restart=never -- bash


to debug this issue i ran the command you specified, and then in another terminal ran:

kubectl get job ubuntu -o json


from there you can see that the actual job structure differs from your json override (you were missing the nested template/spec, and volumes, volumemounts, and containers need to be arrays).
"
47021469,how to set google_application_credentials on gke running through kubernetes,"with the help of kubernetes i am running daily jobs on gke, on a daily basis based on cron configured in kubernetes a new container spins up and try to insert some data into bigquery.

the setup that we have is we have 2 different projects in gcp in one project we maintain the data in bigquery in other project we have all the gke running so when gke has to interact with different project resource my guess is i have to set an environment variable with name  google_application_credentials which points to a service account json file, but since every day kubernetes is spinning up a new container i am not sure how and where i should set this variable.

thanks in advance!

note: this file is parsed as a golang template by the drone-gke plugin.

---
apiversion: v1
kind: secret
metadata:
  name: my-data-service-account-credentials
type: opaque
data:
  sa_json: ""bas64jsonserviceaccount""
---
apiversion: v1
kind: pod
metadata:
  name: adtech-ads-apidata-el-adunit-pod
spec:
  containers:
  - name: adtech-ads-apidata-el-adunit-container
    volumemounts:
    - name: service-account-credentials-volume
     mountpath: ""/etc/gcp""
     readonly: true
  volumes:
  - name: service-account-credentials-volume
    secret:
      secretname: my-data-service-account-credentials
      items:
      - key: sa_json
        path: sa_credentials.json




this is our cron jobs for loading the adunit data

apiversion: batch/v2alpha1
kind: cronjob
metadata:
  name: adtech-ads-apidata-el-adunit
spec:
  schedule: ""*/5 * * * *""
  suspend: false
  concurrencypolicy: replace
  successfuljobshistorylimit: 10
  failedjobshistorylimit: 10
  jobtemplate:
    spec:
      template:
        spec:
          containers:
          - name: adtech-ads-apidata-el-adunit-container
            image: {{.image}}
            args:
            - -cp
            - opt/nyt/dfpdataingestion-1.0-jar-with-dependencies.jar
            - com.nyt.cron.adunitjob
            env:
              - name: env_app_name
                value: ""{{.env_app_name}}""
              - name: env_app_context_name
                value: ""{{.env_app_context_name}}""
              - name: env_google_projectid
                value: ""{{.env_google_projectid}}""
              - name: env_google_datasetid
                value: ""{{.env_google_datasetid}}""
              - name: env_reporting_datasetid
                value: ""{{.env_reporting_datasetid}}""
              - name: env_adbridge_datasetid
                value: ""{{.env_adbridge_datasetid}}""
              - name: env_salesforce_datasetid
                value: ""{{.env_salesforce_datasetid}}""
              - name: env_cloud_platform_url
                value: ""{{.env_cloud_platform_url}}""
              - name: env_smtp_host
                value: ""{{.env_smtp_host}}""
              - name: env_to_email
                value: ""{{.env_to_email}}""
              - name: env_from_email
                value: ""{{.env_from_email}}""
              - name: env_aws_username
                value: ""{{.env_aws_username}}""
              - name: env_client_id
                value: ""{{.env_client_id}}""
              - name: env_refresh_token
                value: ""{{.env_refresh_token}}""
              - name: env_network_code
                value: ""{{.env_network_code}}""
              - name: env_application_name
                value: ""{{.env_application_name}}""
              - name: env_salesforce_username
                value: ""{{.env_salesforce_username}}""
              - name: env_salesforce_url
                value: ""{{.env_salesforce_url}}""
              - name: google_application_credentials
                value: ""/etc/gcp/sa_credentials.json""
              - name: env_cloud_sql_url
                valuefrom:
                  secretkeyref:
                    name: secrets
                    key: cloud_sql_url
              - name: env_aws_password
                valuefrom:
                  secretkeyref:
                    name: secrets
                    key: aws_password
              - name: env_client_secret
                valuefrom:
                  secretkeyref:
                    name: secrets
                    key: dfp_client_secret
              - name: env_salesforce_password
                valuefrom:
                  secretkeyref:
                    name: secrets
                    key: salesforce_password


          restartpolicy: onfailure



",<kubernetes><google-kubernetes-engine>,47023291,60,"so, if your gke project is project my-gke, and the project containing the services/things your gke containers need access to is project my-data, one approach is to:


create a service account in the my-data project. give it whatever gcp roles/permissions are needed (ex. roles/bigquery.
dataviewer if you have some bigquery tables that your my-gke gke containers need to read).


create a service account key for that service account. when you do this in the console following https://cloud.google.com/iam/docs/creating-managing-service-account-keys, you should automatically download a .json file containing the sa credentials.

create a kubernetes secret resource for those service account credentials. it might look something like this:

apiversion: v1
kind: secret
metadata:
  name: my-data-service-account-credentials
type: opaque
data:
  sa_json: &lt;contents of running 'base64 the-downloaded-sa-credentials.json'&gt;

mount the credentials in the container that needs access:

[...]
spec:
  containers:
  - name: my-container
    volumemounts:
    - name: service-account-credentials-volume
      mountpath: /etc/gcp
      readonly: true
[...]
  volumes:
  - name: service-account-credentials-volume
    secret:
      secretname: my-data-service-account-credentials
      items:
      - key: sa_json
        path: sa_credentials.json

set the google_application_credentials environment variable in the container to point to the path of the mounted credentials:

[...]
spec:
  containers:
  - name: my-container
    env:
    - name: google_application_credentials
      value: /etc/gcp/sa_credentials.json



with that, any official gcp clients (ex. the gcp python client, gcp java client, gcloud cli, etc. should respect the google_application_credentials env var and, when making api requests, automatically use the credentials of the my-data service account that you created and mounted the credentials .json file for.
"
